,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,maningrida,-12.07,134.27,299.03,71,45,1.71,AU,1603143918
318,vao,-22.67,167.48,296.24,77,94,7.38,NC,1603143919
319,sarakhs,36.54,61.16,284.15,37,0,1.0,IR,1603143919
320,kapit,2.02,112.93,296.02,93,94,0.42,MY,1603143919
321,turukhansk,65.82,87.98,261.52,97,100,1.75,RU,1603143919
322,ust-maya,60.42,134.53,262.06,95,16,1.2,RU,1603143920
323,vadlapudi,14.32,79.8,300.91,74,98,0.77,IN,1603143920
324,avarua,-21.21,-159.78,300.15,78,6,3.1,CK,1603143920
325,mortka,59.33,66.02,274.82,95,17,3.29,RU,1603143920
326,opuwo,-18.06,13.84,293.85,29,0,2.56,NA,1603143921
327,tabira,-7.59,-37.54,299.9,43,22,6.75,BR,1603143921
328,te anau,-45.42,167.72,283.87,55,18,2.19,NZ,1603143921
329,baft,29.23,56.61,282.81,27,0,2.1,IR,1603143922
330,beringovskiy,63.05,179.32,276.65,80,88,4.6,RU,1603143922
331,grindavik,63.84,-22.43,274.15,86,56,4.1,IS,1603143922
332,cozumel,20.51,-86.95,302.38,74,40,4.6,MX,1603143757
333,brawley,32.98,-115.53,309.48,22,1,2.6,US,1603143923
334,los teques,10.34,-67.04,293.26,99,56,0.75,VE,1603143923
335,port keats,-14.25,129.55,301.45,81,82,3.59,AU,1603143657
336,celestun,20.87,-90.4,301.2,78,7,6.96,MX,1603143923
337,usinsk,65.99,57.53,267.92,96,91,2.94,RU,1603143924
338,troitskiy,57.06,63.75,277.84,90,90,1.72,RU,1603143924
339,ruteng,-8.61,120.47,290.68,100,93,0.89,ID,1603143924
340,ati,13.22,18.34,304.45,19,0,2.6,TD,1603143924
341,iralaya,15.0,-83.23,301.54,78,100,3.78,HN,1603143925
342,acarau,-2.89,-40.12,299.46,76,12,8.92,BR,1603143925
343,cap-aux-meules,47.38,-61.86,283.72,92,89,3.85,CA,1603143925
344,kamaishi,39.27,141.88,286.1,64,3,2.01,JP,1603143925
345,lac du bonnet,50.25,-96.06,275.12,98,91,1.79,CA,1603143925
346,monrovia,6.3,-10.8,298.15,94,75,3.23,LR,1603143926
347,saskylakh,71.92,114.08,267.04,97,89,2.0,RU,1603143926
348,susehri,40.16,38.09,284.37,78,27,0.8,TR,1603143926
349,elliot,-31.33,27.85,287.57,46,16,1.42,ZA,1603143926
350,halifax,44.65,-63.57,287.09,93,90,2.1,CA,1603143900
351,srednekolymsk,67.45,153.68,263.93,96,29,0.84,RU,1603143927
352,hasaki,35.73,140.83,283.15,100,75,2.6,JP,1603143761
353,alta floresta,-9.88,-56.09,295.84,94,97,0.73,BR,1603143927
354,valparaiso,-33.04,-71.63,290.68,48,8,4.6,CL,1603143927
355,sawakin,19.11,37.33,299.96,68,0,3.09,SD,1603143928
356,polis,35.04,32.43,292.35,77,20,2.6,CY,1603143928
357,khandyga,62.67,135.6,261.81,96,95,1.3,RU,1603143928
358,virginia beach,36.85,-75.98,293.86,73,90,4.1,US,1603143708
359,progreso,21.28,-89.67,303.21,66,75,4.1,MX,1603143929
360,atar,20.52,-13.05,304.26,22,0,3.85,MR,1603143929
361,fortuna,40.6,-124.16,289.6,87,40,6.2,US,1603143782
362,bogorodskoye,56.55,37.88,274.96,87,64,6.32,RU,1603143930
363,aripuana,-9.17,-60.63,301.26,61,96,0.09,BR,1603143930
364,honningsvag,70.98,25.97,278.05,75,100,5.49,NO,1603143930
365,aitape,-3.14,142.35,300.12,79,45,1.7,PG,1603143930
366,kollo,13.3,2.34,304.15,45,1,2.1,NE,1603143931
367,quatre cocos,-20.21,57.76,295.45,73,20,4.1,MU,1603143931
368,tecoanapa,16.52,-98.75,303.58,66,2,5.25,MX,1603143931
369,palizada,18.25,-92.08,303.15,70,40,3.6,MX,1603143931
370,san quintin,30.48,-115.95,298.0,58,0,9.57,MX,1603143931
371,karaikkudi,10.07,78.78,300.28,76,100,1.07,IN,1603143931
372,san cristobal,7.77,-72.22,304.15,45,40,2.1,VE,1603143932
373,marienburg,54.04,19.03,277.97,93,40,4.1,PL,1603143932
374,roald,62.58,6.13,275.12,63,8,3.6,NO,1603143932
375,fort abbas,29.19,72.85,297.78,19,0,2.79,PK,1603143933
376,zyryanka,65.75,150.85,263.31,96,79,2.8,RU,1603143933
377,conchas,-23.02,-48.01,296.12,68,65,3.63,BR,1603143933
378,opportunity,47.65,-117.24,288.23,54,98,2.24,US,1603143934
379,aliwal north,-30.69,26.71,292.11,25,12,2.98,ZA,1603143935
380,barentu,15.11,37.59,296.87,38,0,2.24,ER,1603143935
381,dodge city,37.75,-100.02,285.9,46,1,1.5,US,1603143881
382,batticaloa,7.71,81.69,298.6,80,31,1.88,LK,1603143935
383,egvekinot,66.32,-179.17,270.36,97,41,2.2,RU,1603143935
384,sobolevo,54.43,31.9,276.05,82,3,6.25,RU,1603143936
385,vidim,56.41,103.11,269.47,91,100,4.71,RU,1603143936
